ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County
95666,468,15,278,5729,124,0,2,16,0,6632,31,0.47,70987.0,8.1,85.7,0.9,0.5,19.8,5542,339537.39,0.4128,0.10569438754608768,0.9659863945578231,0.0,0.02580909463334699,0.0757849151930711,13.08644007605397,2.8340413977570824,144.2465600687946,Amador 
95249,310,6,246,3617,104,0,0,14,0,4297,20,0.47,33342.0,16.7,74.7,2.9,1.3,15.0,5533,347415.8,0.5845,0.2835906232132647,0.672566371681416,0.18534906588003933,0.0,0.43748814266742553,,,,
90037,137,76,1009,33171,929,2,7,85,0,35416,163,0.46,45128.0,79.7,1.5,1.1,16.1,9.2,68885,621717.22,0.4674,0.75016880486158,0.506369255576458,0.48669712442891694,0.1857416160252082,0.27813244123705316,55.2874927700307,6.508786004831234,1833.544976075807,Los Angeles
95341,454,37,1350,20421,380,0,1,67,0,22710,104,0.46,46760.0,68.9,13.3,11.8,3.2,6.9,34045,325500.99,0.4615,0.5858654831000342,0.6644302683677958,0.26803783545974486,0.10606577899169227,0.3048329373552675,47.92616502470137,6.170574121326099,573.3980182391384,Merced 
96093,353,10,249,3672,86,0,0,10,0,4380,20,0.46,42168.0,5.3,73.7,1.2,0.0,22.9,4391,303552.45,0.4384,0.27315634218289087,0.7790410281759763,0.12852199703410777,0.01887905604719764,0.19283236994219652,,,,
93527,166,1,121,1629,54,0,0,8,0,1979,9,0.46,83255.0,8.0,84.8,0.0,1.2,29.0,1705,265712.27,0.4401,0.11757857974388825,0.6036866359447005,0.0,0.08265424912689173,0.18475073313782991,,,,
93280,342,33,1128,14586,158,0,1,41,0,16289,74,0.45,40696.0,85.4,7.0,0.9,5.3,4.5,28337,279093.22,0.4575,0.41115893021826005,0.7808720112517581,0.1731364275668073,0.04380571779895481,0.19929901423877328,42.02312789923262,6.371862549944831,168.4613050595886,Kern 
95567,95,5,110,1526,29,0,0,3,0,1768,8,0.45,87500.0,13.7,59.8,2.1,0.0,12.7,2178,397045.7,0.3717,0.2468354430379747,0.7093844601412714,0.04339051463168517,0.017721518987341773,0.15702479338842976,,,,
93543,410,24,498,10249,251,0,1,27,0,11460,51,0.45,61936.0,75.8,18.5,1.0,2.6,7.4,13793,417248.55,0.4032,0.3212986286034145,0.950626959247649,0.014629049111807733,0.03162608452280996,0.19988399912999347,38.423097600872964,4.5813760699115225,610.9677207185468,Los Angeles
93930,562,34,864,11018,171,0,1,22,0,12672,56,0.44,64762.0,79.6,15.2,3.2,0.1,13.7,16945,464466.87,0.3871,0.4779561383676238,0.7297805642633229,0.15694879832810868,0.03956590549400859,0.15411601040343556,27.426193209194405,4.204664293048918,158.77735212818524,Monterey 
93283,121,3,82,1358,29,0,0,4,0,1597,7,0.44,21717.0,7.4,91.3,0.0,0.0,3.7,2228,196004.07,0.4519,0.13482056256062075,0.4118065433854908,0.017780938833570414,0.0,0.4865350089766607,20.4564633813127,3.49812047435928,68.19991052,Kern 
90270,82,33,590,15814,351,0,5,41,1,16917,74,0.44,54631.0,97.4,0.7,0.7,0.3,8.1,25415,580428.48,0.407,0.7265822784810126,0.6571606669783387,0.3428393330216612,0.10094936708860759,0.20694858050426843,57.63809179159694,7.589757043408508,1552.9423096851458,Los Angeles
95966,1614,47,1372,20378,581,0,0,58,0,24050,105,0.44,52628.0,15.1,71.1,4.7,1.3,15.1,29203,302789.92,0.4531,0.2599178059213285,0.7060684902608818,0.0788974052457633,0.07640694456093265,0.15285368384641992,22.454767253873737,4.012511495877587,283.48665161712023,Butte 
93257,1608,110,3469,47552,776,0,5,124,0,53644,234,0.44,48411.0,68.5,23.1,4.3,0.3,12.8,78754,286483.87,0.4568,0.4548493531301554,0.7227931916967949,0.18808140715765528,0.07011374489884518,0.22406745674696008,46.191501290733115,5.890782111831257,514.8130035952574,Tulare 
93285,92,4,119,1797,52,0,0,5,0,2069,9,0.44,30556.0,6.4,92.4,0.0,0.0,9.8,2087,228100.79,0.4113,0.20462046204620463,0.4099297012302285,0.013620386643233744,0.038778877887788776,0.2477240057498802,37.22055528936912,5.2730787190478825,105.75795506653314,Kern 
92113,279,100,1604,32921,724,1,2,54,0,35685,155,0.43,49651.0,79.4,6.5,3.1,9.4,9.7,51461,569140.88,0.4349,0.7215962782583412,0.6275857329393169,0.36774104872517355,0.10394708148578906,0.22750620080854636,51.60940529188725,6.457244115824477,1191.672050056264,San Diego
93434,82,18,326,5675,114,0,0,9,0,6224,27,0.43,58449.0,88.2,6.7,4.2,0.2,11.8,8138,474303.26,0.4358,0.47976596782057535,0.7669724770642202,0.23302752293577983,0.03754266211604096,0.2770028391556598,,,,
93620,341,17,589,7012,127,0,0,18,0,8104,35,0.43,49789.0,71.2,22.0,0.5,2.1,10.1,8865,328262.19,0.4842,0.46054054054054056,0.8843196255432966,0.05416248746238716,0.07099099099099099,0.15414214576731552,45.0710489575607,5.623626409635855,218.73290579875038,Merced 
