ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports,HomeownerShare,ChargersPer1000EV,Diesel_share,Gasoline_share,Gasoline_Hybrid_share,PHEV_share,Electric_share,PortsPer10kPeople
92407,819,288,2172,41515,1115,2,8,277,0,46196,567,1.23,76743.0,67.0,16.6,3.8,9.3,17.0,68662,502487.92,0.4193,0.3872766587003527,0.7864538395168249,0.2004961173425366,0.0521224536246728,0.1640890813485926,37.8877688585638,5.587914657013039,859.9738097409694,San Bernardino,1.0,3.0,3.0,0.0,0.6127233412996473,1.763668430335097,0.017728807688977402,0.8986708805957225,0.024136288856178023,0.005996190146333016,0.006234306000519526,0.4369228976726574
95449,127,12,77,1358,48,0,0,8,0,1630,20,1.23,64688.0,34.5,55.1,0.1,0.3,20.9,1460,507083.98,0.4187,0.5010141987829615,0.8703427719821163,0.0402384500745156,0.0101419878296146,0.2,10.4259788112564,2.19786915443566,222.0991925,Mendocino ,2.0,5.0,5.0,0.0,0.4989858012170385,100.0,0.07791411042944785,0.8331288343558282,0.029447852760736196,0.0049079754601227,0.007361963190184049,34.24657534246575
93312,1802,290,2274,36902,1239,1,3,229,0,42740,520,1.22,102677.0,30.9,54.6,6.2,3.3,32.1,57625,424701.27,0.3631,0.2133918770581778,0.928172386272945,0.0627826549614259,0.0212952799121844,0.0752669350603885,14.159863709460854,4.829787642005633,595.1280056111682,Kern ,0.0,0.0,0.0,0.0,0.7866081229418223,0.0,0.04216190921853065,0.8634066448291998,0.028989237248479176,0.0053579784744969584,0.006785212915301825,0.0
95703,147,11,90,1493,63,0,0,11,0,1815,22,1.21,88882.0,8.2,83.4,0.7,2.6,36.8,1993,532707.31,0.4566,0.1073170731707317,0.8937048503611971,0.0,0.0390243902439024,0.1058705469141997,6.60184485278375,2.70214339739453,735.1062847,Placer ,0.0,0.0,0.0,0.0,0.8926829268292683,0.0,0.08099173553719008,0.8225895316804408,0.03471074380165289,0.006060606060606061,0.006060606060606061,0.0
92382,151,25,161,3838,96,0,2,27,0,4300,52,1.21,72331.0,21.7,68.6,3.2,0.4,29.7,4323,375610.0,0.3822,0.2488207547169811,0.9934980494148244,0.0065019505851755,0.0448113207547169,0.1142724959518852,30.6542330484981,5.07278653576371,275.3140992,San Bernardino,0.0,0.0,0.0,0.0,0.7511792452830189,0.0,0.03511627906976744,0.8925581395348837,0.022325581395348838,0.006279069767441861,0.005813953488372093,0.0
92504,961,279,2732,39293,1597,2,42,265,0,45171,546,1.21,73153.0,53.9,29.9,5.0,7.7,19.5,58173,541526.1,0.417,0.3862954211635481,0.7335648571254494,0.2399317614086395,0.0672456734146497,0.125599074533135,34.34458146342041,6.295837332366413,1049.6787653283052,Riverside ,14.0,27.0,27.0,0.0,0.6137045788364519,25.64102564102564,0.021274711651280687,0.8698722631777025,0.03535454163069226,0.0058665958247548205,0.00617652918908149,4.641328451343407
95626,324,27,249,4193,223,1,0,33,0,5050,61,1.21,87941.0,18.4,67.0,5.9,3.0,15.1,5978,460653.18,0.3804,0.1990692864529472,0.956973293768546,0.0,0.0113753877973112,0.0943933054393305,15.954460149368598,3.2487108587466462,162.2355973262268,Sacramento ,0.0,0.0,0.0,0.0,0.8009307135470528,0.0,0.06415841584158416,0.8302970297029703,0.044158415841584156,0.006534653465346534,0.005346534653465347,0.0
91706,452,321,1976,52697,1665,23,14,350,0,57498,694,1.21,72737.0,72.7,3.2,21.7,0.9,13.3,73652,626189.57,0.408,0.4031472251778014,0.7858969476032428,0.1975624353882148,0.0451923615388923,0.1301030871455525,50.52645737453777,7.396479876946137,1446.4813847671378,Los Angeles,2.0,17.0,13.0,4.0,0.5968527748221986,2.881844380403458,0.007861142996278131,0.9165014435284705,0.02895752895752896,0.006087168249330412,0.005582802880100177,2.3081518492369524
95355,875,297,2055,38963,1454,1,3,227,0,43875,525,1.2,72349.0,31.3,50.6,8.8,4.4,22.1,59597,459159.72,0.4392,0.4000474833808167,0.7300525781754451,0.2312517295452449,0.0613010446343779,0.1006717101468941,26.27052024440528,4.834131316386506,757.1381216639245,Stanislaus ,0.0,0.0,0.0,0.0,0.5999525166191833,0.0,0.019943019943019943,0.8880455840455841,0.03313960113960114,0.005173789173789174,0.00676923076923077,0.0
90040,132,75,563,9440,297,2,5,49,0,10563,126,1.19,56948.0,94.8,2.6,1.5,0.5,11.8,11844,609185.61,0.4484,0.4430490654205608,0.750788643533123,0.2431889876684829,0.1144859813084112,0.1623829787234042,65.46164424222724,9.24747593794034,1968.570628790177,Los Angeles,2.0,22.0,2.0,20.0,0.5569509345794392,15.873015873015872,0.012496449872195399,0.8936855060115497,0.02811701221243965,0.004638833664678595,0.007100255609201931,18.574805808848364
