ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,Gini,RenterShare,SingleFamilyShare,MultiUnitShare,ZeroVehicleShare,PovertyShare,CES_Score_ZIP,PollutionBurden_ZIP,Traffic_ZIP,County,Num_Stations,Total_Ports,L2_Ports,DC_Fast_Ports
92602,159,1457,334,17075,1242,39,3,526,0,20835,2022,9.71,123455.0,20.4,30.9,43.5,0.3,65.7,27425,1527208.32,0.4537,0.5589041095890411,0.6254944620253164,0.3707476265822785,0.0095342465753424,0.0915194215943044,13.318997715324569,5.0888382006592,1341.244583445207,Orange ,16.0,22.0,20.0,2.0
94304,26,141,38,1700,248,2,1,73,0,2229,216,9.69,152772.0,12.2,61.4,20.0,1.6,81.1,4295,2977539.91,0.5241,0.7960908610670893,0.1678733031674208,0.8321266968325792,0.0966719492868462,0.0745280706055405,6.218128876896354,5.444036683364985,1006.5969006631636,Santa Clara,31.0,76.0,50.0,26.0
95391,183,1104,354,12010,1144,9,0,331,0,15135,1444,9.54,154155.0,14.3,28.8,43.5,6.3,45.3,23235,944074.28,0.2857,0.2936653852582316,0.929156626506024,0.0163855421686747,0.0080227310713688,0.0315018953422508,,,,,1.0,12.0,12.0,0.0
92694,350,1669,598,20450,1178,29,9,669,0,24952,2367,9.49,165290.0,11.0,67.0,13.0,1.1,65.5,34879,1127442.37,0.4185,0.2559334041799504,0.8162911611785095,0.1823223570190641,0.0204569606801275,0.0255292295335895,5.022711718108488,2.47739622051364,810.1571340217222,Orange ,6.0,10.0,10.0,0.0
92625,194,740,207,8844,425,4,1,248,0,10663,992,9.3,167925.0,8.2,80.3,7.4,0.1,71.7,13102,3360027.43,0.5374,0.3805460750853242,0.7826214589754881,0.2173785410245119,0.0419795221843003,0.0613384321223709,5.314211319028275,4.91261843761343,1135.017501953998,Orange ,3.0,9.0,9.0,0.0
92823,53,282,94,3607,249,7,4,122,0,4418,411,9.3,143971.0,16.1,31.0,48.4,0.0,60.9,5626,1099247.26,0.3738,0.1645856980703745,0.8542105263157894,0.1005263157894736,0.0,0.0721649484536082,18.9492873684793,6.99057763801799,1988.314337,Orange ,1.0,2.0,2.0,0.0
94114,194,1065,152,13175,1662,9,2,481,0,16740,1555,9.29,169459.0,9.1,66.8,13.6,2.7,79.2,34474,1672050.31,0.4767,0.5611237661351557,0.2831299507600086,0.7142474844786983,0.2629519303778985,0.0575508186233169,4.876989322855237,3.019627161992205,484.45170124729367,San Francisco,0.0,0.0,0.0,0.0
94568,432,3225,1079,37811,2876,53,5,990,0,46471,4268,9.18,171168.0,9.6,28.8,52.3,3.6,67.6,69818,1230336.89,0.3849,0.3560097620500305,0.7006010676306166,0.2984321802362238,0.0266713152619192,0.0365237455458846,13.370793823206576,4.09794604715229,1575.2792443131304,Alameda ,25.0,68.0,42.0,26.0
94062,539,1575,593,18321,1536,9,3,529,0,23105,2113,9.15,203000.0,13.3,71.6,7.9,1.5,66.2,26847,2409848.54,0.5017,0.2706868018204386,0.8510986892829607,0.1489013107170393,0.0269962763756723,0.0542380489264606,6.691332513801788,3.2875602029666178,759.8706873549254,San Mateo,6.0,23.0,21.0,2.0
92091,27,124,40,1422,75,0,0,33,0,1721,157,9.12,151458.0,6.0,64.5,17.7,0.0,69.5,1331,2984880.78,0.5497,0.1346469622331691,0.9136125654450262,0.0863874345549738,0.0656814449917898,0.0781367392937641,,,,,0.0,0.0,0.0,0.0
92130,507,3068,642,36528,2958,45,2,948,0,44698,4061,9.09,166789.0,8.1,51.6,33.1,0.6,79.4,57197,1777635.25,0.4361,0.3564850717332299,0.6708338995334511,0.3267201159577841,0.0197266382318728,0.0461366259750253,6.475093528117568,3.80169540515816,1123.7248555821743,San Diego,17.0,47.0,47.0,0.0
92620,290,2546,462,34356,2707,88,11,1056,0,41516,3690,8.89,131521.0,9.3,30.2,54.1,1.1,69.2,60344,1334307.58,0.4352,0.4403535305794498,0.6782950877658399,0.2956183401865853,0.0250023631723225,0.0798519477501701,17.402190155814086,5.398027029152069,1482.9898145112757,Orange ,9.0,19.0,12.0,7.0
